geneid	chr	s1	s2
VEGFD	chrX	15345591	15384376
PIR	chrX	15384799	15493564
BMX	chrX	15464246	15556529
TMEM27	chrX	15627318	15665031
CA5B	chrX	15688830	15788409
ZRSR2	chrX	15790472	15823260
AP1S2	chrX	15825806	15855014
GRPR	chrX	16123556	16153021
AC078993.1	chrX	16152941	16170869
MAGEB17	chrX	16167481	16171464
CTPS2	chrX	16588003	16712936
SYAP1	chrX	16719632	16765336
TXLNG	chrX	16786427	16844519
RBBP7	chrX	16839283	16870414
REPS2	chrX	16946691	17153280
NHS	chrX	17375420	17735994
SCML1	chrX	17737449	17754988
RAI2	chrX	17800049	17861337
LINC01456	chrX	17970197	18104644
SCML2	chrX	18239314	18354727
CDKL5	chrX	18425583	18653629
PPEF1	chrX	18675909	18827921
PHKA2	chrX	18892300	18984598
ADGRG2	chrX	18989309	19122637
PDHA1	chrX	19343893	19361705
MAP3K15	chrX	19360056	19515261
SH3KBP1	chrX	19533975	19887601
CXorf23	chrX	19912860	19970298
MAP7D2	chrX	20006713	20116917
EIF1AX	chrX	20124518	20141844
RPS6KA3	chrX	20149911	20267100
AL807742.1	chrX	20769718	21374265
CNKSR2	chrX	21374418	21654695
KLHL34	chrX	21654690	21658330
MBTPS2	chrX	21839636	21885424
YY2	chrX	21855987	21858727
SMS	chrX	21940573	21994835
PHEX	chrX	22032441	22251310
PTCHD1-AS	chrX	22259797	23293146
AC004470.1	chrX	22698457	22768966
PTCHD1	chrX	23334016	23404372
PRDX4	chrX	23664262	23686399
ACOT9	chrX	23702253	23766475
SAT1	chrX	23783173	23786226
APOO	chrX	23833353	23907934
KLHL15	chrX	23983720	24027186
EIF2S3	chrX	24054716	24077971
ZFX-AS1	chrX	24146225	24149654
ZFX	chrX	24149173	24216255
PDK3	chrX	24465221	24539837
AC004656.1	chrX	24545516	24550466
PCYT1B	chrX	24558087	24672677
POLA1	chrX	24693919	24996986
IL1RAPL1	chrX	28587399	29956723
GK	chrX	30653359	30731456
TAB3	chrX	30827442	30975084
DMD	chrX	31097677	33339441
AL591501.1	chrX	33726508	33942280
AL592043.1	chrX	34206725	34415537
TMEM47	chrX	34627064	34657288
CFAP47	chrX	35919734	36385319
PRRG1	chrX	37349275	37457295
AF241726.2	chrX	37349330	38687674
XK	chrX	37685759	37732130
DYNLT3	chrX	37836757	37847637
SRPX	chrX	38149336	38220924
RPGR	chrX	38269163	38327564
TSPAN7	chrX	38561370	38688920
MID1IP1	chrX	38801432	38806537
MID1IP1-AS1	chrX	38801568	38803883
BCOR	chrX	40049815	40177329
ATP6AP2	chrX	40579372	40606848
CXorf38	chrX	40626921	40647554
MED14	chrX	40648306	40735858
MED14OS	chrX	40735400	40738701
USP9X	chrX	41085635	41236579
DDX3X	chrX	41333348	41364472
CASK	chrX	41514934	41923463
GPR34	chrX	41688973	41697277
GPR82	chrX	41724155	41730135
Z93403.1	chrX	42252459	42699385
AL022158.1	chrX	43176994	43226598
MAOA	chrX	43654907	43746824
MAOB	chrX	43766611	43882447
EFHC2	chrX	44147882	44343672
FUNDC1	chrX	44523639	44543001
KDM6A	chrX	44873177	45112602
MIR222HG	chrX	45745211	45770274
AC234772.3	chrX	45764772	45765299
AC234772.2	chrX	45848074	45851490
KRBOX4	chrX	46446857	46497422
ZNF674	chrX	46497727	46545457
ZNF674-AS1	chrX	46545493	46548408
CHST7	chrX	46573784	46598408
SLC9A7	chrX	46599252	46759172
RP2	chrX	46836940	46882358
LINC01545	chrX	46887417	46899703
JADE3	chrX	46912276	47061242
RGN	chrX	47078355	47093314
NDUFB11	chrX	47142216	47145504
RBM10	chrX	47144869	47186813
UBA1	chrX	47190861	47215128
INE1	chrX	47204921	47205865
CDK16	chrX	47217860	47229997
USP11	chrX	47232690	47248328
ZNF157	chrX	47370583	47414305
ZNF41	chrX	47445879	47482946
LINC01560	chrX	47483571	47484823
ARAF	chrX	47561100	47571920
SYN1	chrX	47571898	47619943
TIMP1	chrX	47582313	47586789
CFP	chrX	47623172	47630305
ELK1	chrX	47635521	47650604
UXT	chrX	47651798	47659161
ZNF81	chrX	47836902	48002561
ZNF182	chrX	47974851	48003978
ZNF630	chrX	47983356	48071658
SLC38A5	chrX	48458537	48470256
FTSJ1	chrX	48476021	48486364
PORCN	chrX	48508962	48520814
EBP	chrX	48521158	48528716
TBC1D25	chrX	48539457	48562609
RBM3	chrX	48574449	48579066
AC115618.3	chrX	48580741	48581165
WDR13	chrX	48590042	48608867
WAS	chrX	48676596	48691427
SUV39H1	chrX	48695554	48709012
AC231533.1	chrX	48698963	48737163
HDAC6	chrX	48801377	48824982
PCSK1N	chrX	48831094	48835633
TIMM17B	chrX	48893447	48898143
PQBP1	chrX	48897912	48903143
SLC35A2	chrX	48903180	48911958
PIM2	chrX	48913182	48919024
OTUD5	chrX	48922028	48958386
KCND1	chrX	48961378	48971569
GRIPAP1	chrX	48973720	49002264
TFE3	chrX	49028726	49043486
CCDC120	chrX	49053572	49069857
PRAF2	chrX	49071156	49074071
WDR45	chrX	49071470	49101170
GPKOW	chrX	49113389	49123801
MAGIX	chrX	49162564	49168483
PLP2	chrX	49171926	49175239
PRICKLE3	chrX	49175264	49186528
SYP	chrX	49187804	49200259
CACNA1F	chrX	49205063	49233371
CCDC22	chrX	49235467	49250526
PPP1R3F	chrX	49269843	49301461
AC232271.1	chrX	49273054	49275768
USP27X	chrX	49879948	49882565
CLCN5	chrX	49922615	50099235
DGKK	chrX	50365409	50470738
SHROOM4	chrX	50591647	50814302
NUDT10	chrX	51332231	51337525
AL158055.1	chrX	51396511	51465661
NUDT11	chrX	51490011	51496596
GSPT2	chrX	51743431	51746232
MAGED1	chrX	51803007	51902357
FAM156A	chrX	52926402	52995472
GPR173	chrX	53049091	53080615
TSPYL2	chrX	53082367	53088540
KANTR	chrX	53094145	53170914
KDM5C	chrX	53191321	53225422
IQSEC2	chrX	53225828	53321328
SMC1A	chrX	53374149	53422728
RIBC1	chrX	53422690	53431120
HSD17B10	chrX	53431258	53434373
HUWE1	chrX	53532096	53686729
PHF8	chrX	53936676	54048958
FAM120C	chrX	54068324	54183281
WNK3	chrX	54192823	54358642
TSR2	chrX	54440401	54445487
FGD1	chrX	54445454	54496166
GNL3L	chrX	54530211	54561071
MAGED2	chrX	54807599	54816012
TRO	chrX	54920462	54931431
PFKFB1	chrX	54932961	54998534
APEX2	chrX	55000357	55009057
FAM104B	chrX	55143102	55161310
MAGEH1	chrX	55452105	55453566
USP51	chrX	55484616	55489202
RRAGB	chrX	55717739	55758774
AL445472.1	chrX	55908123	56015173
KLF8	chrX	56232421	56287889
UBQLN2	chrX	56563639	56567868
AL354793.1	chrX	56618391	56624458
NBDY	chrX	56729241	56818380
SPIN3	chrX	56818298	56995827
SPIN2B	chrX	57118551	57121546
AL022157.1	chrX	57121662	57127243
SPIN2A	chrX	57134530	57137625
FAAH2	chrX	57286706	57489196
ZXDB	chrX	57591652	57597545
ZXDA	chrX	57906708	57910820
LINC01278	chrX	63343227	63561071
SPIN4	chrX	63347228	63351344
ARHGEF9	chrX	63634967	63809274
AMER1	chrX	64185117	64205744
MTMR8	chrX	64268081	64395431
ZC4H2	chrX	64915802	65034713
ZC3H12B	chrX	65366638	65507887
LAS1L	chrX	65512582	65534775
MSN	chrX	65588377	65741931
HEPH	chrX	66162549	66268867
EDA2R	chrX	66595637	66639298
AR	chrX	67544032	67730619
OPHN1	chrX	68042344	68433913
YIPF6	chrX	68498323	68537285
STARD8	chrX	68647666	68725842
EFNB1	chrX	68828997	68842147
PJA1	chrX	69160851	69165793
FAM155B	chrX	69505241	69532508
EDA	chrX	69616067	70039469
IGBP1	chrX	70133449	70166324
PDZD11	chrX	70286595	70290514
KIF4A	chrX	70290090	70420832
GDPD2	chrX	70423031	70433390
DLG3	chrX	70444861	70505490
TEX11	chrX	70528940	70908731
SLC7A3	chrX	70925582	70931125
SNX12	chrX	71056332	71073426
FOXO4	chrX	71096197	71103535
MED12	chrX	71118556	71142454
NLGN3	chrX	71144831	71171201
ZMYM3	chrX	71239624	71255146
NONO	chrX	71283192	71301168
ITGB1BP2	chrX	71301734	71305371
TAF1	chrX	71366239	71532374
OGT	chrX	71533083	71575897
GCNA	chrX	71578411	71613583
NHSL2	chrX	71910818	72161750
RTL5	chrX	72127110	72131901
PIN4	chrX	72181353	72302926
ERCC6L	chrX	72204657	72239047
RPS4X	chrX	72255679	72277300
CITED1	chrX	72301638	72307187
HDAC8	chrX	72329516	72573103
PHKA1	chrX	72578814	72714319
NAP1L6	chrX	73126037	73128080
NAP1L2	chrX	73212299	73214848
CDX4	chrX	73447254	73455245
CHIC1	chrX	73563200	73687102
TSIX	chrX	73792205	73829231
XIST	chrX	73820651	73852753
JPX	chrX	73944184	74070408
FTX	chrX	73946555	74293574
AL353804.1	chrX	73948973	73949558
Z83843.1	chrX	74209976	74213660
SLC16A2	chrX	74421461	74533917
RLIM	chrX	74585217	74614617
KIAA2022	chrX	74732849	74925485
ABCB7	chrX	75053172	75156732
UPRT	chrX	75274085	75304600
ZDHHC15	chrX	75368427	75523502
PBDC1	chrX	76172936	76178204
MAGEE1	chrX	76427724	76431353
MIR325HG	chrX	76657798	77014532
FGF16	chrX	77447405	77457278
ATRX	chrX	77504878	77786269
MAGT1	chrX	77826364	77895593
COX7B	chrX	77899438	77907373
ATP7A	chrX	77910656	78050395
PGK1	chrX	78065188	78129296
TAF9B	chrX	78129748	78139706
LPAR4	chrX	78747709	78757094
ITM2A	chrX	79360384	79367667
TBX22	chrX	80014756	80031769
FAM46D	chrX	80335504	80445311
BRWD3	chrX	80670854	80809688
HMGN5	chrX	81113701	81201942
SH3BGRL	chrX	81201943	81298547
POU3F4	chrX	83508250	83512127
RPS6KA6	chrX	84058346	84187907
HDX	chrX	84317874	84502479
APOOL	chrX	85003826	85093316
ZNF711	chrX	85244032	85273362
CHM	chrX	85861180	86047562
DACH2	chrX	86148458	86832604
KLHL4	chrX	87517749	87670050
PABPC5	chrX	91434595	91438584
PCDH11X	chrX	91779261	92623230
NAP1L3	chrX	93670930	93673568
FAM133A	chrX	93674013	93712274
DIAPH2	chrX	96684663	97604997
RPA4	chrX	96883908	96885467
DIAPH2-AS1	chrX	97431286	97642589
AL157778.1	chrX	98573859	98864984
PCDH19	chrX	100291644	100410273
TNMD	chrX	100584802	100599885
TSPAN6	chrX	100627109	100639991
SYTL4	chrX	100674491	100732123
CSTF2	chrX	100820359	100840932
XKRX	chrX	100913445	100929433
TRMT2B	chrX	101009346	101052116
TMEM35A	chrX	101078720	101096364
CENPI	chrX	101098218	101163681
DRP2	chrX	101219769	101264497
TIMM8A	chrX	101345661	101349196
BTK	chrX	101349447	101390796
RPL36A	chrX	101390824	101396154
RPL36A-HNRNPH2	chrX	101391011	101412297
GLA	chrX	101397803	101407925
HNRNPH2	chrX	101408295	101414133
ARMCX4	chrX	101418287	101533459
ARMCX1	chrX	101550531	101554700
ARMCX6	chrX	101615118	101618001
ARMCX3	chrX	101622797	101627843
ARMCX2	chrX	101655281	101659891
ZMAT1	chrX	101882288	101932031
TCEAL2	chrX	102125688	102127711
TCEAL6	chrX	102140476	102142970
BEX5	chrX	102153708	102156057
TMSB15A	chrX	102513676	102516784
ARMCX5	chrX	102599168	102604159
ARMCX5-GPRASP2	chrX	102599512	102714671
AL035427.1	chrX	102599657	102659712
GPRASP1	chrX	102651366	102659083
GPRASP2	chrX	102712176	102717733
BHLHB9	chrX	102720688	102753540
LINC00630	chrX	102769161	102885406
Z68871.1	chrX	102884414	102906158
BEX1	chrX	103062651	103064240
BEX4	chrX	103215092	103217246
TCEAL8	chrX	103252995	103255203
TCEAL5	chrX	103273691	103276872
BEX2	chrX	103309346	103311046
TCEAL7	chrX	103330196	103332326
TCEAL9	chrX	103356452	103358451
BEX3	chrX	103376340	103378077
RAB40A	chrX	103499130	103519489
TCEAL4	chrX	103576231	103587736
TCEAL3	chrX	103607451	103629690
TCEAL1	chrX	103628704	103630953
MORF4L2	chrX	103675496	103688158
MORF4L2-AS1	chrX	103687284	103691772
GLRA4	chrX	103707224	103728655
PLP1	chrX	103773718	103792619
RAB9B	chrX	103822322	103832228
AC234782.2	chrX	103917411	103919548
TMSB15B	chrX	103918896	103966712
SLC25A53	chrX	104099214	104157027
ZCCHC18	chrX	104112131	104115846
FAM199X	chrX	104166620	104195902
IL1RAPL2	chrX	104566315	105767829
NRK	chrX	105822543	105958610
MUM1L1	chrX	106168305	106208956
CXorf57	chrX	106611930	106679442
RNF128	chrX	106693794	106796993
TBC1D8B	chrX	106802680	106876145
MORC4	chrX	106813871	107000244
RBM41	chrX	107064420	107118823
NUP62CL	chrX	107123427	107206433
FRMPD3	chrX	107522450	107605251
PRPS1	chrX	107628424	107651026
TSC22D3	chrX	107713221	107777342
MID2	chrX	107825755	107927193
AL034399.2	chrX	107894597	107935980
VSIG1	chrX	108044970	108079184
PSMD10	chrX	108084207	108091618
ATG4A	chrX	108091668	108154671
COL4A6	chrX	108155607	108439497
COL4A5	chrX	108439844	108697545
AL035425.3	chrX	108719949	108724944
AL035425.2	chrX	108722070	108732687
IRS4	chrX	108732482	108736409
AL035425.1	chrX	108736011	108738903
NXT2	chrX	109535781	109544690
KCNE5	chrX	109623700	109625172
ACSL4	chrX	109624244	109733403
TMEM164	chrX	110002631	110182734
AMMECR1	chrX	110194186	110440233
CHRDL1	chrX	110673856	110795819
PAK3	chrX	110944285	111227361
CAPN6	chrX	111245103	111270523
DCX	chrX	111293779	111412429
LINC00890	chrX	111511662	111522399
ALG13	chrX	111665811	111760649
ALG13-AS1	chrX	111706649	111711101
TRPC5	chrX	111774315	112082776
LHFPL1	chrX	112630648	112680054
AMOT	chrX	112774503	112840815
XACT	chrX	113616300	113938218
HTR2C	chrX	114584078	114910061
LRCH2	chrX	115110616	115234072
PLS3-AS1	chrX	115518182	115562731
PLS3	chrX	115561174	115650861
DANT1	chrX	115840964	115843050
DANT2	chrX	115917271	115969089
KLHL13	chrX	117897813	118117340
WDR44	chrX	118346073	118449961
DOCK11	chrX	118495898	118686163
IL13RA1	chrX	118727572	118794539
LINC01285	chrX	118839554	118919669
PGRMC1	chrX	119236245	119244466
SLC25A43	chrX	119399060	119454478
AC004000.1	chrX	119422917	119423547
SLC25A5-AS1	chrX	119466034	119469098
SLC25A5	chrX	119468400	119471319
CXorf56	chrX	119538149	119565408
UBE2A	chrX	119574467	119591083
NKRF	chrX	119588337	119605895
SEPT6	chrX	119615724	119693370
SOWAHD	chrX	119758613	119760164
RPL39	chrX	119786504	119791643
UPF3B	chrX	119805311	119852998
RNF113A	chrX	119870475	119871827
NDUFA1	chrX	119871487	119876662
NKAP	chrX	119920672	119943772
RHOXF1-AS1	chrX	120036236	120146854
ZBTB33	chrX	120250752	120258398
LAMP2	chrX	120427827	120469365
CUL4B	chrX	120524609	120575794
MCTS1	chrX	120594010	120621074
C1GALT1C1	chrX	120625793	120630150
GLUD2	chrX	121047588	121050080
AL357562.1	chrX	122242008	122242616
GRIA3	chrX	123184153	123490915
THOC2	chrX	123600561	123733056
XIAP	chrX	123859724	123913979
AL121601.1	chrX	123959233	123961341
STAG2	chrX	123960212	124422664
TENM1	chrX	124375903	124963817
DCAF12L2	chrX	126163499	126166097
DCAF12L1	chrX	126549383	126552851
AL442647.1	chrX	128323620	128600468
SMARCA1	chrX	129446501	129523500
OCRL	chrX	129539849	129592561
APLN	chrX	129645259	129654937
ZDHHC9	chrX	129803288	129843909
AL034405.1	chrX	129869064	129957528
UTP14A	chrX	129906121	129929761
BCORL1	chrX	129981107	130058083
ELF4	chrX	130064874	130110716
AIFM1	chrX	130129362	130165887
RAB33A	chrX	130171649	130184870
ZNF280C	chrX	130202711	130268899
SLC25A14	chrX	130339888	130373361
RBMX2	chrX	130401969	130413343
ENOX2	chrX	130623369	130903317
LINC01201	chrX	130981590	131058146
ARHGAP36	chrX	131058242	131089883
IGSF1	chrX	131273506	131578899
FIRRE	chrX	131691530	131830643
STK26	chrX	132023265	132075943
RAP2C	chrX	132203024	132219480
RAP2C-AS1	chrX	132217147	132432862
MBNL3	chrX	132369317	132489968
HS6ST2	chrX	132626016	132961395
GPC4	chrX	133300103	133415490
GPC3	chrX	133535745	133985895
AC002407.1	chrX	134168911	134174089
CCDC160	chrX	134237047	134246207
PHF6	chrX	134373253	134428791
HPRT1	chrX	134460153	134520513
MIR503HG	chrX	134543337	134546632
PLAC1	chrX	134565838	134764322
FAM122B	chrX	134769566	134797232
FAM122C	chrX	134796789	134854610
MOSPD1	chrX	134887626	134915267
SMIM10	chrX	134990938	134992473
RTL8B	chrX	135020504	135022529
RTL8C	chrX	135032366	135033546
RTL8A	chrX	135050932	135052196
SMIM10L2B-AS1	chrX	135059685	135123952
SMIM10L2B	chrX	135094987	135098634
ZNF75D	chrX	135248920	135344087
ZNF449	chrX	135344796	135363152
SMIM10L2A	chrX	135421943	135428074
INTS6L	chrX	135520643	135582510
MMGT1	chrX	135962070	135974063
SLC9A6	chrX	135973841	136047269
FHL1	chrX	136146702	136211359
MAP7D3	chrX	136213220	136256482
HTATSF1	chrX	136497079	136512346
ARHGEF6	chrX	136665547	136782088
AL683813.1	chrX	136840931	136847797
RBMX	chrX	136848004	136880764
AL035443.1	chrX	137556191	137564387
ZIC3	chrX	137566142	137577691
Z96074.1	chrX	137573752	137981763
FGF13	chrX	138614731	139222777
FGF13-AS1	chrX	138711452	138716617
MCF2	chrX	139581770	139708227
ATP11C	chrX	139726346	139945276
SOX3	chrX	140502985	140505116
LINC00632	chrX	140709767	140772679
LDOC1	chrX	141175745	141177125
SLITRK4	chrX	143622790	143635777
AL500522.1	chrX	143757737	143828133
FMR1	chrX	147911951	147951125
FMR1-IT1	chrX	147946941	147947583
AFF2	chrX	148500619	149000663
IDS	chrX	149476990	149521096
LINC00893	chrX	149527591	149540959
CXorf40A	chrX	149540355	149550510
TMEM185A	chrX	149596556	149631912
LINC00850	chrX	149825708	149879799
CXorf40B	chrX	149929527	149938811
LINC00894	chrX	149938628	150224580
MAMLD1	chrX	150361422	150514178
MTM1	chrX	150568619	150673322
MTMR1	chrX	150692971	150765103
CD99L2	chrX	150766337	150898816
HMGB3	chrX	150980509	150990775
KC877982.1	chrX	151182386	151182855
VMA21	chrX	151396515	151409364
PRRG3	chrX	151695124	151705924
MAGEA4	chrX	151912509	151925170
GABRE	chrX	151953124	151974680
GABRA3	chrX	152166234	152451358
GABRQ	chrX	152638183	152657534
CETN2	chrX	152826973	152830777
NSDHL	chrX	152830967	152869729
ZNF185	chrX	152914442	152973480
PNMA3	chrX	153056409	153060467
PNMA6A	chrX	153072482	153075018
ZNF275	chrX	153334155	153360110
HAUS7	chrX	153447666	153495516
BGN	chrX	153494939	153509554
FAM58A	chrX	153587919	153600045
AF274858.3	chrX	153599340	153604353
DUSP9	chrX	153642492	153651326
PNCK	chrX	153669730	153689010
SLC6A8	chrX	153688099	153696593
BCAP31	chrX	153700497	153724697
ABCD1	chrX	153724868	153744762
IDH3G	chrX	153785766	153794523
SSR4	chrX	153793516	153798505
PDZD4	chrX	153802166	153830565
L1CAM	chrX	153861514	153909223
ARHGAP4	chrX	153907367	153934999
NAA10	chrX	153929242	153935223
RENBP	chrX	153935263	153944691
HCFC1	chrX	153947553	153971807
TMEM187	chrX	153972327	153983195
IRAK1	chrX	154010500	154019980
MECP2	chrX	154021573	154137103
FLNA	chrX	154348524	154374638
EMD	chrX	154379197	154381523
RPL10	chrX	154389955	154409168
AC245140.2	chrX	154396878	154398816
DNASE1L1	chrX	154401238	154412112
TAZ	chrX	154411518	154421726
CH17-340M24.3	chrX	154424380	154428479
ATP6AP1	chrX	154428632	154436516
GDI1	chrX	154436913	154443467
FAM50A	chrX	154444126	154450654
PLXNA3	chrX	154458281	154477779
LAGE3	chrX	154477769	154479257
UBL4A	chrX	154483717	154486670
SLC10A3	chrX	154487306	154490690
FAM3A	chrX	154506159	154516242
G6PD	chrX	154531391	154547572
IKBKG	chrX	154541199	154565046
GAB3	chrX	154675249	154751583
DKC1	chrX	154762742	154777689
MPP1	chrX	154778684	154821007
F8	chrX	154835788	155026940
F8A1	chrX	154886349	154888061
FUNDC2	chrX	155025980	155060303
MTCP1	chrX	155061622	155147937
BRCC3	chrX	155071420	155123074
VBP1	chrX	155197007	155239817
RAB39B	chrX	155258241	155264589
CLIC2	chrX	155276211	155334657
TMLHE-AS1	chrX	155466540	155611616
TMLHE	chrX	155490115	155669944
SPRY3	chrX	155767812	155782459
VAMP7	chrX	155881293	155943769
